year,job_category,salary_in_usd,country,experience_level,work_setting,general_average_salary
2023,Data Science and Research,130410,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,92000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,183900,United States,Senior,In-person,95100.0
2023,Data Science and Research,108800,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,275000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,121200,United States,Senior,In-person,95100.0
2023,Data Science and Research,166000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,231250,United States,Senior,In-person,95100.0
2023,Data Science and Research,111000,United States,Senior,In-person,95100.0
2023,Data Engineering,300000,United States,Senior,In-person,95100.0
2023,Data Engineering,130000,United States,Senior,In-person,95100.0
2023,Data Engineering,210500,United States,Mid-level,In-person,95100.0
2023,Data Engineering,105300,United States,Mid-level,In-person,95100.0
2023,Data Engineering,158400,United States,Mid-level,In-person,95100.0
2023,Data Engineering,85800,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,305600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,146600,United States,Senior,In-person,95100.0
2023,Data Analysis,180400,United States,Senior,In-person,95100.0
2023,Data Analysis,138800,United States,Senior,In-person,95100.0
2023,Data Science and Research,258700,United States,Senior,In-person,95100.0
2023,Data Science and Research,172500,United States,Senior,In-person,95100.0
2023,Data Analysis,134200,United States,Senior,In-person,95100.0
2023,Data Analysis,103200,United States,Senior,In-person,95100.0
2023,Data Analysis,105000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,85000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,220000,United States,Senior,In-person,95100.0
2023,Data Science and Research,160000,United States,Senior,In-person,95100.0
2023,Data Analysis,110000,United States,Senior,Remote,95100.0
2023,Data Analysis,95000,United States,Senior,Remote,95100.0
2023,Data Analysis,95400,United States,Mid-level,Remote,95100.0
2023,Data Analysis,57800,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,110000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,86000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,125000,United States,Executive,In-person,95100.0
2023,Data Analysis,87500,United States,Executive,In-person,95100.0
2023,BI and Visualization,185000,United States,Senior,In-person,95100.0
2023,BI and Visualization,79600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,275000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,170000,United States,Senior,In-person,95100.0
2023,Data Engineering,133200,United States,Senior,Remote,95100.0
2023,Data Engineering,84000,United States,Senior,Remote,95100.0
2023,Data Analysis,171000,United States,Senior,In-person,95100.0
2023,Data Analysis,93000,United States,Senior,In-person,95100.0
2023,Leadership and Management,216450,United States,Senior,In-person,95100.0
2023,Leadership and Management,123750,United States,Senior,In-person,95100.0
2023,Data Science and Research,212800,United States,Senior,In-person,95100.0
2023,Data Science and Research,124100,United States,Senior,In-person,95100.0
2023,Data Science and Research,205000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,166000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,231650,United States,Senior,In-person,95100.0
2023,Data Science and Research,189100,United States,Senior,In-person,95100.0
2023,Data Engineering,266875,United States,Senior,In-person,95100.0
2023,Data Engineering,128250,United States,Senior,In-person,95100.0
2023,Data Engineering,158600,United States,Mid-level,Remote,95100.0
2023,Data Engineering,115300,United States,Mid-level,Remote,95100.0
2023,Data Engineering,225300,United States,Senior,In-person,95100.0
2023,Data Engineering,197400,United States,Senior,In-person,95100.0
2023,Data Analysis,109900,United States,Entry-level,In-person,95100.0
2023,Data Analysis,61200,United States,Entry-level,In-person,95100.0
2023,Data Engineering,161000,United States,Senior,Remote,95100.0
2023,Data Engineering,75000,United States,Senior,Remote,95100.0
2023,Data Analysis,166000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,138510,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,95490,United States,Mid-level,In-person,95100.0
2023,Data Analysis,150000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,110000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,232200,United States,Senior,In-person,95100.0
2023,Data Science and Research,133300,United States,Senior,In-person,95100.0
2023,Leadership and Management,178250,United States,Senior,In-person,95100.0
2023,Leadership and Management,110500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,190000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,160000,United States,Senior,In-person,95100.0
2023,Data Science and Research,216000,United States,Senior,Remote,95100.0
2023,Data Science and Research,184000,United States,Senior,Remote,95100.0
2023,BI and Visualization,185000,United States,Senior,In-person,95100.0
2023,BI and Visualization,79600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,230000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,196000,United States,Senior,In-person,95100.0
2023,Data Engineering,184000,United States,Senior,In-person,95100.0
2023,Data Engineering,123000,United States,Senior,In-person,95100.0
2023,BI and Visualization,165600,United States,Mid-level,In-person,95100.0
2023,BI and Visualization,65800,United States,Mid-level,In-person,95100.0
2023,Data Engineering,186000,United States,Senior,In-person,95100.0
2023,Data Engineering,81800,United States,Senior,In-person,95100.0
2023,Data Analysis,135000,United States,Senior,In-person,95100.0
2023,Data Analysis,82500,United States,Senior,In-person,95100.0
2023,Data Engineering,247250,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,169000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,105500,United States,Senior,In-person,95100.0
2023,Data Science and Research,195800,United States,Senior,In-person,95100.0
2023,Data Science and Research,161900,United States,Senior,In-person,95100.0
2023,BI and Visualization,108500,United States,Senior,Remote,95100.0
2023,BI and Visualization,78800,United States,Senior,Remote,95100.0
2023,Data Science and Research,225000,United States,Senior,In-person,95100.0
2023,Data Science and Research,166000,United States,Senior,In-person,95100.0
2023,BI and Visualization,167500,United States,Senior,In-person,95100.0
2023,BI and Visualization,106500,United States,Senior,In-person,95100.0
2023,BI and Visualization,160000,United States,Mid-level,Remote,95100.0
2023,BI and Visualization,110000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,110000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,87500,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,60000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,55000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,145000,United States,Senior,In-person,95100.0
2023,Data Engineering,115000,United States,Senior,In-person,95100.0
2023,Data Science and Research,225000,United States,Senior,In-person,95100.0
2023,Data Science and Research,166000,United States,Senior,In-person,95100.0
2023,Data Engineering,135000,United States,Executive,In-person,95100.0
2023,Data Engineering,100000,United States,Executive,In-person,95100.0
2023,Leadership and Management,289800,United States,Senior,In-person,95100.0
2023,Leadership and Management,214200,United States,Senior,In-person,95100.0
2023,Data Engineering,167500,United States,Mid-level,In-person,95100.0
2023,Data Engineering,106500,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,220000,United States,Senior,In-person,95100.0
2023,Data Science and Research,146000,United States,Senior,In-person,95100.0
2023,Data Engineering,128000,United States,Senior,In-person,95100.0
2023,Data Engineering,81500,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,206000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,134000,United States,Senior,In-person,95100.0
2023,Data Science and Research,370000,United States,Senior,In-person,95100.0
2023,Data Science and Research,200000,United States,Senior,In-person,95100.0
2023,Leadership and Management,175000,United States,Senior,Remote,95100.0
2023,Leadership and Management,160000,United States,Senior,Remote,95100.0
2023,Data Management and Strategy,240000,United States,Entry-level,Remote,95100.0
2023,Data Management and Strategy,100000,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,180000,United States,Senior,In-person,95100.0
2023,Data Science and Research,160000,United States,Senior,In-person,95100.0
2023,Data Science and Research,249300,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,149300,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,222200,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Engineering,190000,United States,Senior,Remote,95100.0
2023,Data Engineering,160000,United States,Senior,Remote,95100.0
2023,Data Science and Research,248100,United States,Senior,In-person,95100.0
2023,Data Science and Research,145900,United States,Senior,In-person,95100.0
2023,Data Science and Research,170200,United States,Senior,In-person,95100.0
2023,Data Science and Research,83900,United States,Senior,In-person,95100.0
2023,Leadership and Management,100000,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,75000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,160000,United States,Senior,In-person,95100.0
2023,Data Science and Research,94100,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,226600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,140100,United States,Senior,In-person,95100.0
2023,Data Science and Research,247600,United States,Senior,In-person,95100.0
2023,Data Science and Research,127300,United States,Senior,In-person,95100.0
2023,Data Science and Research,222200,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Science and Research,260000,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Science and Research,222200,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Analysis,156000,United States,Senior,In-person,95100.0
2023,Data Analysis,124000,United States,Senior,In-person,95100.0
2023,Data Engineering,200000,United States,Senior,In-person,95100.0
2023,Data Engineering,132600,United States,Senior,In-person,95100.0
2023,Data Science and Research,308000,United States,Senior,In-person,95100.0
2023,Data Science and Research,190400,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,155000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,136000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,Remote,95100.0
2023,Data Engineering,75000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,214500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,132600,United States,Senior,In-person,95100.0
2023,Data Analysis,111000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,104000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,260000,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Engineering,85000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,75000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,180250,United States,Senior,Remote,95100.0
2023,Data Science and Research,118000,United States,Senior,Remote,95100.0
2023,Data Science and Research,212800,United States,Senior,In-person,95100.0
2023,Data Science and Research,111600,United States,Senior,In-person,95100.0
2023,Data Analysis,157500,United States,Senior,Remote,95100.0
2023,Data Analysis,132500,United States,Senior,Remote,95100.0
2023,Data Analysis,85000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,75000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,93918,United States,Senior,In-person,95100.0
2023,Data Analysis,51962,United States,Senior,In-person,95100.0
2023,BI and Visualization,171000,United States,Senior,Remote,95100.0
2023,BI and Visualization,152000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,223600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,115000,United States,Senior,In-person,95100.0
2023,Data Engineering,166000,United States,Senior,In-person,95100.0
2023,Data Engineering,73100,United States,Senior,In-person,95100.0
2023,BI and Visualization,140000,United States,Mid-level,Remote,95100.0
2023,BI and Visualization,110000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,130900,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,72700,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,333500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,144000,United States,Senior,In-person,95100.0
2023,BI and Visualization,180000,United States,Senior,Remote,95100.0
2023,BI and Visualization,118200,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,354200,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,221800,United States,Senior,Remote,95100.0
2023,Data Analysis,166000,United States,Senior,In-person,95100.0
2023,Data Analysis,73000,United States,Senior,In-person,95100.0
2023,Data Engineering,156600,United States,Senior,Remote,95100.0
2023,Data Engineering,137200,United States,Senior,Remote,95100.0
2023,Data Analysis,149000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,65300,United States,Mid-level,In-person,95100.0
2023,Data Engineering,187000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,180000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,119636,United States,Senior,In-person,95100.0
2023,Data Analysis,70374,United States,Senior,In-person,95100.0
2023,Data Analysis,105000,United States,Senior,Remote,95100.0
2023,Data Analysis,67000,United States,Senior,Remote,95100.0
2023,Data Analysis,102000,United States,Senior,Remote,95100.0
2023,Data Analysis,94770,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,186000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,81800,United States,Senior,In-person,95100.0
2023,Data Science and Research,133000,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,58400,United States,Entry-level,In-person,95100.0
2023,Leadership and Management,169900,United States,Senior,Remote,95100.0
2023,Leadership and Management,164100,United States,Senior,Remote,95100.0
2023,Data Science and Research,305600,United States,Senior,In-person,95100.0
2023,Data Science and Research,172500,United States,Senior,In-person,95100.0
2023,Data Analysis,105000,United States,Senior,Remote,95100.0
2023,Data Analysis,75000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,180240,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,120160,United States,Senior,In-person,95100.0
2023,Data Science and Research,212000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,93400,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,275000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,170000,United States,Senior,In-person,95100.0
2023,Data Science and Research,119000,United States,Senior,In-person,95100.0
2023,Data Science and Research,71400,United States,Senior,In-person,95100.0
2023,Data Analysis,115950,United States,Mid-level,In-person,95100.0
2023,Data Analysis,69570,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,225100,United States,Senior,Remote,95100.0
2023,Data Science and Research,140900,United States,Senior,Remote,95100.0
2023,Data Science and Research,116000,United States,Senior,In-person,95100.0
2023,Data Science and Research,90000,United States,Senior,In-person,95100.0
2023,Data Science and Research,212000,United States,Senior,In-person,95100.0
2023,Data Science and Research,93300,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,179000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,144000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,250800,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,167200,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,144000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,76000,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,230000,United States,Executive,In-person,95100.0
2023,Leadership and Management,180000,United States,Executive,In-person,95100.0
2023,Data Science and Research,156450,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,119200,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,150000,United States,Senior,Remote,95100.0
2023,Data Science and Research,130000,United States,Senior,Remote,95100.0
2023,Leadership and Management,247500,United States,Executive,In-person,95100.0
2023,Leadership and Management,172200,United States,Executive,In-person,95100.0
2023,Machine Learning and AI,155000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,125000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,175000,United States,Senior,Remote,95100.0
2023,Data Engineering,97500,United States,Senior,Remote,95100.0
2023,Data Science and Research,220000,United States,Executive,In-person,95100.0
2023,Data Science and Research,185000,United States,Executive,In-person,95100.0
2023,Data Analysis,100000,United States,Senior,In-person,95100.0
2023,Data Analysis,75000,United States,Senior,In-person,95100.0
2023,Data Science and Research,303050,United States,Senior,In-person,95100.0
2023,Data Science and Research,202350,United States,Senior,In-person,95100.0
2023,Data Science and Research,201650,United States,Senior,In-person,95100.0
2023,Data Science and Research,124600,United States,Senior,In-person,95100.0
2023,BI and Visualization,198200,United States,Senior,In-person,95100.0
2023,BI and Visualization,110200,United States,Senior,In-person,95100.0
2023,Data Science and Research,212000,United States,Senior,In-person,95100.0
2023,Data Science and Research,93400,United States,Senior,In-person,95100.0
2023,Data Analysis,145000,United States,Senior,In-person,95100.0
2023,Data Analysis,110000,United States,Senior,In-person,95100.0
2023,BI and Visualization,89500,United States,Mid-level,Remote,95100.0
2023,BI and Visualization,65000,United States,Mid-level,Remote,95100.0
2023,Machine Learning and AI,328400,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,205600,United States,Senior,Remote,95100.0
2023,Data Science and Research,184800,United States,Senior,In-person,95100.0
2023,Data Science and Research,161900,United States,Senior,In-person,95100.0
2023,Data Engineering,85000,United States,Entry-level,Remote,95100.0
2023,Data Engineering,61800,United States,Entry-level,Remote,95100.0
2023,Data Analysis,116000,United States,Entry-level,In-person,95100.0
2023,Data Analysis,72500,United States,Entry-level,In-person,95100.0
2023,Machine Learning and AI,215000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,169850,United States,Senior,Remote,95100.0
2023,BI and Visualization,225000,United States,Senior,In-person,95100.0
2023,BI and Visualization,180000,United States,Senior,In-person,95100.0
2023,Data Science and Research,147400,United States,Senior,In-person,95100.0
2023,Data Science and Research,107682,United States,Senior,In-person,95100.0
2023,Data Science and Research,225300,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,197400,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,160000,United States,Senior,In-person,95100.0
2023,Leadership and Management,136000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,204600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,126500,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,210000,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,115000,United States,Senior,Remote,95100.0
2023,Data Analysis,86500,United States,Entry-level,In-person,95100.0
2023,Data Analysis,40400,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,260000,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Science and Research,329700,United States,Senior,In-person,95100.0
2023,Data Science and Research,192351,United States,Senior,In-person,95100.0
2023,Data Engineering,280000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,In-person,95100.0
2023,BI and Visualization,106700,United States,Mid-level,In-person,95100.0
2023,BI and Visualization,97000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,175000,United States,Senior,Remote,95100.0
2023,Data Analysis,150000,United States,Senior,Remote,95100.0
2023,Leadership and Management,145000,United States,Senior,In-person,95100.0
2023,Leadership and Management,120000,United States,Senior,In-person,95100.0
2023,Data Engineering,88000,United States,Entry-level,In-person,95100.0
2023,Data Engineering,60000,United States,Entry-level,In-person,95100.0
2023,Data Management and Strategy,123000,United States,Senior,In-person,95100.0
2023,Data Management and Strategy,93593,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,276000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,174000,United States,Senior,In-person,95100.0
2023,Data Science and Research,185900,United States,Senior,In-person,95100.0
2023,Data Science and Research,129300,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,222405,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,172800,United States,Senior,In-person,95100.0
2023,Data Analysis,120350,United States,Senior,Remote,95100.0
2023,Data Analysis,74400,United States,Senior,Remote,95100.0
2023,Data Engineering,205600,United States,Senior,In-person,95100.0
2023,Data Engineering,105700,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,263500,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,189360,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,230000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,124000,United States,Senior,In-person,95100.0
2023,Data Engineering,184800,United States,Senior,In-person,95100.0
2023,Data Engineering,161900,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,310000,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,206000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,372000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,223000,United States,Senior,In-person,95100.0
2023,Data Analysis,95000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,80000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,131000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,110000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,133000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,58400,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,233500,United States,Senior,In-person,95100.0
2023,Leadership and Management,146000,United States,Senior,In-person,95100.0
2023,Data Engineering,300000,United States,Senior,In-person,95100.0
2023,Data Engineering,130000,United States,Senior,In-person,95100.0
2023,Data Science and Research,280889,United States,Senior,In-person,95100.0
2023,Data Science and Research,187259,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,305100,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,146900,United States,Senior,Remote,95100.0
2023,BI and Visualization,78800,United States,Entry-level,In-person,95100.0
2023,BI and Visualization,44100,United States,Entry-level,In-person,95100.0
2023,Machine Learning and AI,166000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,150000,United States,Senior,Remote,95100.0
2023,Data Science and Research,80000,United States,Senior,Remote,95100.0
2023,Leadership and Management,150000,United States,Senior,Remote,95100.0
2023,Leadership and Management,80000,United States,Senior,Remote,95100.0
2023,Data Science and Research,170000,United States,Senior,In-person,95100.0
2023,Data Science and Research,120000,United States,Senior,In-person,95100.0
2023,Data Engineering,110000,United States,Senior,In-person,95100.0
2023,Data Engineering,90000,United States,Senior,In-person,95100.0
2023,BI and Visualization,202800,United States,Senior,In-person,95100.0
2023,BI and Visualization,104300,United States,Senior,In-person,95100.0
2023,Data Science and Research,272400,United States,Executive,In-person,95100.0
2023,Data Science and Research,140100,United States,Executive,In-person,95100.0
2023,Data Engineering,154000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,103000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,223600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,115000,United States,Senior,In-person,95100.0
2023,BI and Visualization,85600,United States,Entry-level,In-person,95100.0
2023,BI and Visualization,57000,United States,Entry-level,In-person,95100.0
2023,Data Engineering,190400,United States,Senior,In-person,95100.0
2023,Data Engineering,112000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,119636,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,70374,United States,Senior,Remote,95100.0
2023,Data Engineering,304750,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,In-person,95100.0
2023,Data Analysis,98873,United States,Mid-level,In-person,95100.0
2023,Data Analysis,58161,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,138000,United States,Senior,In-person,95100.0
2023,Leadership and Management,85500,United States,Senior,In-person,95100.0
2023,Data Science and Research,307100,United States,Senior,In-person,95100.0
2023,Data Science and Research,216800,United States,Senior,In-person,95100.0
2023,Data Science and Research,153600,United States,Senior,In-person,95100.0
2023,Data Science and Research,106800,United States,Senior,In-person,95100.0
2023,Data Analysis,250000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,125000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,280000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,180000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Executive,In-person,95100.0
2023,Data Engineering,130000,United States,Executive,In-person,95100.0
2023,Data Science and Research,180000,United States,Senior,In-person,95100.0
2023,Data Science and Research,162000,United States,Senior,In-person,95100.0
2023,BI and Visualization,185000,United States,Senior,In-person,95100.0
2023,BI and Visualization,79600,United States,Senior,In-person,95100.0
2023,Data Analysis,164640,United States,Senior,In-person,95100.0
2023,Data Analysis,131712,United States,Senior,In-person,95100.0
2023,Data Analysis,74800,United States,Mid-level,In-person,95100.0
2023,Data Analysis,63600,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,138510,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,95490,United States,Mid-level,In-person,95100.0
2023,Data Engineering,280000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,170000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,140000,United States,Senior,In-person,95100.0
2023,Data Science and Research,137500,United States,Senior,In-person,95100.0
2023,Data Science and Research,81500,United States,Senior,In-person,95100.0
2023,Data Engineering,253792,United States,Senior,In-person,95100.0
2023,Data Engineering,158620,United States,Senior,In-person,95100.0
2023,BI and Visualization,259900,United States,Senior,In-person,95100.0
2023,BI and Visualization,139200,United States,Senior,In-person,95100.0
2023,Data Science and Research,293000,United States,Senior,In-person,95100.0
2023,Data Science and Research,185000,United States,Senior,In-person,95100.0
2023,Data Engineering,180000,United States,Senior,In-person,95100.0
2023,Data Engineering,90000,United States,Senior,In-person,95100.0
2023,Data Science and Research,165000,United States,Senior,In-person,95100.0
2023,Data Science and Research,115500,United States,Senior,In-person,95100.0
2023,Data Engineering,110000,United States,Senior,In-person,95100.0
2023,Data Engineering,70000,United States,Senior,In-person,95100.0
2023,Data Science and Research,142000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,102000,United States,Mid-level,In-person,95100.0
2023,Data Quality and Operations,141600,United States,Senior,In-person,95100.0
2023,Data Quality and Operations,121400,United States,Senior,In-person,95100.0
2023,Data Engineering,240000,United States,Senior,In-person,95100.0
2023,Data Engineering,170000,United States,Senior,In-person,95100.0
2023,Data Science and Research,222200,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Data Analysis,55000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,49000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,135000,United States,Senior,Remote,95100.0
2023,Data Engineering,110000,United States,Senior,Remote,95100.0
2023,Data Engineering,200000,United States,Senior,Remote,95100.0
2023,Data Engineering,180000,United States,Senior,Remote,95100.0
2023,Data Science and Research,168000,United States,Senior,Remote,95100.0
2023,Data Science and Research,130000,United States,Senior,Remote,95100.0
2023,Data Science and Research,105000,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,70000,United States,Entry-level,In-person,95100.0
2023,Data Analysis,105000,United States,Senior,Remote,95100.0
2023,Data Analysis,100000,United States,Senior,Remote,95100.0
2023,BI and Visualization,167500,United States,Senior,In-person,95100.0
2023,BI and Visualization,106500,United States,Senior,In-person,95100.0
2023,BI and Visualization,115600,United States,Senior,In-person,95100.0
2023,BI and Visualization,79700,United States,Senior,In-person,95100.0
2023,Data Science and Research,281700,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,141100,United States,Entry-level,In-person,95100.0
2023,Data Management and Strategy,173100,United States,Senior,In-person,95100.0
2023,Data Management and Strategy,86900,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,258700,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,133800,United States,Mid-level,In-person,95100.0
2023,Data Analysis,120000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,85000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,225300,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,197400,United States,Mid-level,In-person,95100.0
2023,Data Analysis,157000,United States,Senior,Remote,95100.0
2023,Data Analysis,125000,United States,Senior,Remote,95100.0
2023,Data Science and Research,208000,United States,Senior,In-person,95100.0
2023,Data Science and Research,134000,United States,Senior,In-person,95100.0
2023,Data Engineering,140000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,65000,United States,Mid-level,In-person,95100.0
